,Pre-sleep,Trial1,Post_Trial1,Trial2,Post_Trial2,Trial3,Post_Trial3,Trial4,Post_Trial4,Trial5,PT5_part1,PT5_part2,PT5_part3,PT5_part4
1,0.16089673581596306,0.2657799014190042,0.22779496448188669,0.3187727970966601,0.27799054071400486,0.2681475474982621,0.2676254739425725,0.33425322583851014,0.24082024860377085,0.29047832962139764,0.3250310703449146,0.31817949719304534,0.3229925580548851,0.27373072661353226
3,0.04515769932097267,0.15938777705659596,0.09682614623268725,0.20701490529634745,0.10954959727863528,0.19776020378549294,0.09338990315667088,0.14873271360091558,0.11055626347762093,0.18452584950073386,0.09317416966284055,0.0671294901825044,0.10263896546094263,0.1221021567913182
4,0.17839236292379967,0.2023925845510621,0.18981610484332376,0.16516131108677903,0.19743236248359933,0.14301232239630024,0.1803160258713715,0.2045049385050318,0.1701452496763026,0.27846276057987057,0.1622865565236218,0.1374809175903118,0.17972493171709486,0.17672297225409586
5,0.16252106079186301,0.28179088462426377,0.16450787478535656,0.29552776909705675,0.2200163274094591,0.26107478289866437,0.21784584241605673,0.24991165969607118,0.22673708417489066,0.25444155009751906,0.18432419194273017,0.23759963637528486,0.17579546819516023,0.19560914386999234
7,0.08355177315417697,0.10454596630085781,0.13215048440761198,0.15608997570290228,0.1836151632203776,0.10691303160755056,0.1541057129317573,0.17853535102475412,0.15978183772531612,0.12410967810534417,0.15870026052340538,0.09354892611509838,0.13666830923247106,0.08719246602588589
8,0.08657834232182052,0.09517210902468212,0.0960478879066916,0.1657368569214261,0.11300795123772349,0.0931410892178227,0.09883064370182294,0.11262645401636458,0.09471570179492843,0.11442385948268126,0.0820709104583166,0.08701370149620438,0.09873525631652762,0.0954685077063
10,0.110180592217624,0.12857489529767183,0.11332521233796948,0.2219242618572417,0.17361728567549042,0.22510723754025302,0.13391735179014425,0.1675069532701172,0.14842753941914336,0.19535606737567332,0.13794977504188943,0.12972438673934658,0.15991064807407565,0.1821074520324265
11,0.07855937851341495,0.07340858639258746,0.09134266746677352,0.09390975421875103,0.08815843111608321,0.17092221175571248,0.06315925481696989,0.23600556995861333,0.13004034017355504,0.2060245453218304,0.13525387791439936,0.12562043868838124,0.1561742514078424,0.1507769035267812
