Rat;SD;Condition;Neuron;Pre-sleep;Trial1;Post-Trial1;Trial2;Post-Trial2;Trial3;Post-Trial3;Trial4;Post-Trial4;Trial5;PT5_part1;PT5_part2;PT5_part3;PT5_part4
3;SD1;OD;0;0,10398342131960674;0,11851312940700158;0,09537902467845648;0,1103136920227301;0,10270938172263695;0,12317495226546335;0,09571298414109998;0,1106301023979511;0,10399963440334473;0,1241123823128958;0,10281276233916069;0,10355683372272734;0,09378208692913534;0,10068216647483384
3;SD1;OD;1;0,13398905747587248;0,14002481847427298;0,15623530023753432;0,16283314157365628;0,15612472287071683;0,1699968749820375;0,16794085124566294;0,15768225395145474;0,15608737538257497;0,18321884928875595;0,17263286951151;0,143278843662038;0,13887925194111672;0,15744315356442587
3;SD1;OD;2;0,25299458011073817;0,2456727953986667;0,30277399003485744;0,3034111962430424;0,29870170596337603;0,2606468721206863;0,30807035712166375;0,2670683091367831;0,24783510201308118;0,2431862273889941;0,24721894871328318;0,30201700889912003;0,2554027892829165;0,3496003029922866
3;SD1;OD;3;0,08479991131078642;0,13604932746395917;0,0892886213451924;0,207851993251577;0,07592243998722366;0,1457820458040299;0,09855566354797664;0,13337350428249495;0,11092584050504282;0,13935040330867132;0,11625463904640072;0,11093068880174088;0,13581093742027486;0,10109454473514767
3;SD1;OD;4;0,0804239594499569;0,10120237242133062;0,07483409015116466;0,11152126344673827;0,06977885506965709;0,08413170544718429;0,070842483100281;0,10109819274055738;0,07463448390981516;0,11672659207880126;0,06833267367125437;0,09045523964073482;0,06907773113580838;0,0912680685442523
3;SD1;OD;6;0,11032278789428492;0,12941373505499326;0,1502751333078609;0,20321012845680597;0,14278991943867073;0,08141531558028907;0,07000594868417108;0,10193226853568373;0,19352718015370804;0,30255468089086834;0,26790914298163465;0,16259615206678582;0,16488885682409735;0,0674054705443101
3;SD1;OD;7;0,0662193683359506;0,10955310144617737;0,06808015110672724;0,0986226307841849;0,0700538489428862;0,09295011343419954;0,07938852397743396;0,06757438990690982;0,060540641580633804;0,11094809899626563;0,06431416090104994;0,060964941740600506;0,05854404433844654;0,0943671984377237
3;SD1;OD;8;0,07693771708157311;0,0638640312338828;0,08684775637865995;0,14878788196657264;0,10318948666661237;0,07190679793020299;0,11919056664293323;0,15034447910408558;0,07631528188906116;0,08844067638634984;0,07133123982862732;0,0920064652574733;0,10591489547492758;0,17555516714744465
4;SD5;OD;0;0,15557580007144342;0,2217465573448999;0,13975646800178657;0,19263012890219966;0,14655667767299646;0,10934971252839777;0,14614009601502578;0,12562216332584095;0,13984551869066983;0,13604235382330765;0,134636300346302;0,0950610690790204;0,09216634746847481;0,09415880502335597
4;SD5;OD;1;0,21613812898011273;0,15921525200552825;0,22504058111337344;0,16295627647870703;0,21477828091582576;0,2461386758910895;0,22946102595602785;0,21096205236826837;0,22322032185292995;0,2797392761331567;0,23423768431186334;0,22126242004493848;0,19019658812260237;0,21436349563643975
4;SD5;OD;2;0,02093550080517927;0,057565189549579544;0,02765616274896561;0,026957269201245672;0,027620851602893952;0,046517357224634744;0,0340151893371416;0,032110704655324646;0,03274696625893638;0,12893148568064344;0,04442069023359488;0,04261647668361674;0,03381352363867114;0,04986489868019893
7;SD5;OD;0;0,055813640535542865;0,06468214325811256;0,042203492907672946;0,07042356510465385;0,053489602098819054;0,06486773252825748;0,07622307508897694;0,07493638197294972;0,07140449561501043;0,07625392952295863;0,06875081443322066;0,06454189107753178;0,06282155394182037;0,057820249585750515
7;SD5;OD;1;0,11499524979809635;0,0947098291758779;0,12660760468414417;0,10718385107175073;0,06780552692506826;0,05693088913638671;0,11283820508964046;0,10102032480863375;0,14243242520424707;0,110968152938322;0,11801546144737445;0,14573466184108425;0,08807572511652803;0,12248233146191692
3;SD3;OR;0;0,0548078967575072;0,0948125069580453;0,07261499644852387;0,10894578729127836;0,07562067283175747;0,11110773114933473;0,06542060719344897;0,06400753576373311;0,061961842556644074;0,05951401690556277;0,06461272900510183;0,04964365880362031;0,02745111330467017;0,02773672169918071
3;SD3;OR;1;0,07951660297752308;0,09951311266595853;0,09649846031467205;0,09149124810348858;0,09630568829977952;0,08009615788455693;0,08444023507866405;0,08474193209638478;0,09557846636724926;0,08328656829721696;0,08530337367783464;0,08953920602619458;0,08823252340644004;0,07709186588432884
3;SD3;OR;3;0,07217435087496447;0,09467978826128437;0,10372051058669401;0,17883726949828016;0,10614411798952567;0,14037536235364878;0,06408287981751594;0,12499367809495203;0,08072419667212474;0,11785295080561842;0,08379111405728976;0,09383100969231799;0,11349773101953903;0,13829333199196508
3;SD3;OR;4;0,07562753040085088;0,10195435578377463;0,0945678761011494;0,11729513882271818;0,08593261306023428;0,12224097433459129;0,10989100880799749;0,12355194613260517;0,10950932375030728;0,1031565185983707;0,10741587100725272;0,09518593368004105;0,11864635471812329;0,11181953043528518
